allergy|allergen,allergens,allergic,allergies
allows|allowing
alteration|alter,alterations,altered,altering,alters
appear|appeared
appearance|appearances,appeared
arrive|arrived,arrives,arriving
attempt|attempted,attempting,attempts
awaiting|await,awaited,awaits
awakened|awaken,awakening,awakens
background|backgrounded,backgrounding,backgrounds
badly|bad
badmouth|badmouthed,badmouthing,badmouths
banished|banish,banishes
banishing|banish,banishes
barriers|barrier
beautifully|beautiful
beauty|beauties,beautified,beautifies,beautiful,beautify,beautifying
begin|beginning,begun
behave|behaved,behaves,behaving
behavior|behaved,behaves,behaving,behaviors
belies|belie,belied,belying
beneficial|beneficially
bestial|bestially
bidding|biddings
blend|blended,blending,blends
bodyguards|bodyguard
brace|braced,braces,bracing
brazier|braziers
brotherhood|brotherhoods,brothers
cases|cas,case
castle|castled,castles,castling
censer|censers
charisma|charismatic
chronology|chronologic,chronological,chronologically,chronologies
civilisation|civilisations,civilise,civilised,civilising,civilization,civilize,civilized,civilizing
clairvoyance|clairvoyances,clairvoyant
cleanse|cleansed,cleanses,cleansing
closing|close,closed,closes,closings
commitment|commit,commitments
communication|communicate,communicated,communicates,communicating,communications,communicator,communicators
comprehensible|comprehensibly
comprehension|comprehend,comprehended,comprehending,comprehends,comprehensions
comprised|compris,comprise,comprises,comprising
concentrate|concentrated,concentrates,concentrating
conjecture|conjectured,conjectures,conjecturing
connection|connect,connected,connecting,connections,connector,connectors,connects
consult|consulted,consulting,consults
contain|contained,container,containers,containing
context|contexts
corporeal|corporeally
creating|create,created,creates
crucial|crucially
cunning|cunningly,cunnings
darkest|darker
decide|decided,decides,deciding
dedicated|dedicatedly
dedication|dedications
denotes|denote,denoted,denoting
destination|destinations
destroying|destroy,destroys
determination|determinate,determinations
develop|developed,developing,develops
distant|distantly
doorway|doorways
dormant|dormancy
due|dues
embroidery|embroider,embroidered,embroideries,embroidering,embroiders
enables|enable,enabled,enabling
encumbrance|encumber,encumbered,encumbering,encumbers,encumbrances
engenders|engender,engendered,engendering
environment|environments
establish|established,establishes,establishing
ethereal|ethereally
euphoric|euphoria,euphorically
explore|explores
facing|face,faced,faces,facings
faithful|faithfully
fantastic|fantastically
feelings|felt
fiction|fictional,fictionally,fictions
fierce|fiercely,fiercer,fiercest
followers|follower
formerly|former
front|fronted,fronting,fronts
fungus|fungi,funguses
game|gamed,gamely,games,gaming
gargoyle|gargoyles
gateway|gateways
ghosts|ghost
ginseng|ginsengs
gnome|gnomish
gravity|gravitic,gravities
hails|hail,hailed,hailing
half-elves|half-elf
harmed|harming,harms
harnessing|harness,harnessed,harnesses
helm|helmed,helming,helms
helmet|helmets
helped|help,helps
helping|helpings
hideous|hideously,hideousness
honor|honorable,honored,honoring,honors
horrible|horribly
humor|humorous,humorously,humors
hurt|hurting,hurts
hyoscyamine-containing|hyoscyamine
important|importance,importantly
inanimate|animate,animated,animating,animation,inanimately
include|included,including
includes|included,including
incorporeal|incorporeality,incorporeally
infiltrating|infiltrate,infiltrated,infiltrates
initiate|initiated,initiates,initiating
inquisitive|inquisitively,inquisitiveness
inspiration|inspirations,inspired,inspires,inspiring
inspire|inspired,inspires,inspiring
intestinal|intestinally,intestine,intestines
intricate|intricacy,intricately
invasion|invade,invaded,invades,invading,invasions
involve|involved,involves,involving
kind|kinder,kindest,kindly,kindness,kinds
lawfuller|lawfully,lawfulness
leaf|leafed,leafing,leafs,leaves
legend|legendary,legends
locating|locate,locates
looming|loom,loomed
majority|major,majorities
manipulation|manipulate,manipulations
matter|mattered,mattering,matters
maturity|mature,maturities
means|mean,meaning,meant
mentor|mentored,mentoring,mentors
mild|milder,mildest,mildly
mixture|mixtures
moon|mooned,mooning,moons
mortal|mortality,mortally,mortals
motivation|motivate,motivated,motivates,motivating,motivations
mummy|mummied,mummified,mummifies,mummify,mummifying,mummying
mundane|mundanely
mythology|mythologic,mythological,mythologically,mythologies
negotiating|negotiate,negotiated,negotiates,negotiation,negotiator,negotiators
notable|notables
obstructions|obstruct,obstructed,obstructing,obstruction,obstructs
optimism|optimistic,optimistically
outpost|outposts
outskirts|outskirt
overlooked|overlook,overlooking,overlooks
partys|parties
personal|personally
personality|personalities,personally
phandalin|phandalins
pivotal|pivot,pivotally,pivots
plain|plainly,plains
plan|planned,planning
plays|play,played,playing
pleasant|pleasantly
popular|popularity,popularly,populars
portal|portalled,portals
possesses|possess,possessing,possession,possessions
practitioners|practitioner
prepared|preparation,prepare,prepares,preparing
prevent|prevented,preventing,prevents
profanity|profane,profanely,profanities
promising|promise,promised,promises,promisingly
pronounced|pronouncedly
properly|proper
protective|protect,protected,protectively,protects
quick-witted|quick-wittedly
ray|rayed,raying,rays
reactions|react,reacted,reacting,reaction,reacts
reanimated|reanimate,reanimates,reanimating
regain|regained,regaining,regains
relic|relics
relieve|relieved,relieves,relieving
reminding|remind,reminded,reminds
remote|remotely
resettled|resettle,resettles,resettling
responsibility|responsibilities,responsibly
reverted|reverting,reverts
reward|rewarded,rewarding,rewards
rivals|rival,rivalry
rods|rod
role|roles
roleplaying|roleplay,roleplayed,roleplays
sack|sacked,sacking,sacks
sacred|sacredly,sacredness
scout|scouted,scouts
scouting|scouted,scoutings,scouts
seeking|seek,seeks,sought
sending|send,sendings
sends|send
serpents|serpent
shrine|shrined,shrines,shrining
signifying|signified,signifies,signify
similar|similarly
skilled|skills
smoked|smoke,smokes,smoking
solutions|solve,solved,solves,solving
specializing|specialist,specialists,specialization,specialize,specialized,specializes
spellcaster|spellcasters
spheres|sphere
spilled|spill,spilling,spills
sporebane|sporebanes
staves|staffs
