alchemical|alchemy,alchemist,alchemists
ambitious|ambition,ambitiously
axes|axed,axing
basilisk|basilisks
battling|battled
believed|believes
captors|capture,captures,capturing
carved|carve,carves,carving
chaotic|chaotically
charges|charge,charged,charging
citadel|citadels,citadel's
coastlines|coastline
commands|commanded,commanding
completed|complete,completes,completing
conditions|condition
conjures|conjure,conjured,conjuring
contact|contacts,contacted,contacting
cuprous|coppery
countering|countered
cruel|cruelly,cruelty
cultic|cult,cultists
delicacy|delicate
denied|deny,denies,denying
denser|dense,densest,density
determined|determines
diameter|diameters
direct|directed,directing,directly
discovered|discover,discovers,discovery
dissipates|dissipate,dissipated,dissipating
distinct|distinction,distinctly
divine|divinity
driven|drove
dual-wielded|dual-wield,dual-wields
duergar|duergars,duergar's
earlier|earliest
efforts|effort
embodied|embody,embodies,embodying
emerged|emerge,emerges
ending|ended
enslaving|enslave,enslaves,enslaved,enslavement
eventually|eventual
exact|exactly
expedition|expeditions
experiments|experiment,experimented,experimenting
fall|falls,fell,fallen
filling|fill,fills,filled
financially|finance,financial
fingertips|fingertip
finished|finish,finishes,finishing
flayers|flay,flays,flayed,flaying,flayer
flowing|flow,flows,flowed
fog|fogs,fogged,fogging,foggy
freedom|freed,freeing
galleries|gallery
glacier|glaciers,glacial
going|go,goes,went
gradual|gradually
gray|grayer,grayest,grayness
great|greatest,greatly
harsh|harshly,harshness
hereditary|inherit,inherits,inherited,inheriting,inheritance
history|histories,historical,historically
holes|hole
indicating|indicate,indicates,indicated,indication
individual|individuals,individually
industry|industrious
info|inform,informs,informed,informing
instant|instantly
isolation|isolate,isolates,isolated,isolating
journey|journeys,journeyed,journeying
keep|keeps,keeping
kidnap|kidnaps,kidnapped,kidnapping,kidnapper
killing|kill,kills,killer,killers
king|kings,kingly
lasts|lasting
lead|led,leading
lies|lied,lying
unlimited|limiting
lip|lips
lived|lives
lizard|lizards
loses|lose,losing
lowest|low
maintain|maintains,maintained,maintaining
man-eaters|man-eater
materials|material
millenia|millennium,millennia
mistake|mistakes,mistaken
mysteriously|mystery
nation|nations,national
numbers|numbered,numbering
obscured|obscure,obscures,obscuring
operating|operate,operates,operated,operation
originally|origin,original
paying|pays
peak|peaks
perfect|perfection,perfectly
performed|performs,performing,performance
period|periods,periodic
phantasms|phantasm
poisonous|poisoned,poisoning
prescribed|prescribe,prescribes,prescribing,prescription
prisoner|imprison
proved|proves,proving,proven
quaggoths|quaggoth
rapidly|rapid
raw|rawness
reaching|reached
realm|realms
rearing|rears,reared
reclamation|reclaim,reclaims,reclaiming
referred|refer,refers,referring,reference
refusal|refuse,refuses,refused,refusing
regard|regards,regarded,regarding
rendered|render,renders,rendering
reptilian|reptile,reptiles
rose|rise,rises,risen,rising
rulers|ruler
service|serve,serves,served,serving
sharing|shared
sinking|sink,sank,sunk
spears|spear
spider|spiders
subject|subjects,subjecting
suicidal|suicide,suicidally
swarm|swarms,swarmed,swarming
swamps|swamp
swaying|sway,sways,swayed
tails|tail
task|tasks
touched|touch,touches,touching
tribal|tribe,tribes,tribally
typically|typed,typing,typical
urged|urge,urges,urging
unusual|usual,usually
venerated|venerate,venerates,venerating,veneration
waxing|wax,waxes,waxed
wind|winds,windy,winding
worship|worships,worshipped,worshipping,worshipper
