"English"	"OldOrcish"	"ProposedOrcish"
"actresses"	"freq100-actresses-8ccbbe"	"ebb-hekfa-hekmog"
"actual"	"ap21-25-actual-e5c6fd"	"hekruhur-gurmog-krom"
"actually"	"shad-aktual-e5c-uk"	"hekruhi-grukhur-dravku"
"acute"	"freq100-acute-edb18f"	"hrogar-grimuk"
"adapt"	"freq100-adapt-f1f61c"	"hrowgai-kaat"
"add"	"ap2-ad-7e9"	"dravku-gashur"
"added"	"ap2-ad-7e9-ash"	"dravku-gashur-ash"
"addict"	"freq100-addict-d4d6f7"	"gruuli-hekui-klap"
"addicted"	"freq100-addicted-46576e"	"cbd-demetra-elfi"
"addiction"	"freq100-addiction-056dc4"	"aele-dravku-heku"
"addicts"	"freq100-addicts-563975"	"dakuri-chesire-fa"
"adding"	"ap2-ad-7e9-in"	"ak-braki-drath"
"addition"	"ap16-20-addition-77f930"	"drath-kangstuk-dakku"
"address"	"ap21-25-address-d80c9b"	"gurmogi-bant-goru"
"addressed"	"freq100-addressed-916d0e"	"ender-dravku-bitu"
"addresses"	"ap21-25-addresses-fe79d7"	"iku-dwimmer-hrowkuk"
"addressing"	"ap26-30-addressing-c8bee2"	"grodui-grrtuk-jorun"
"adds"	"ap2-ad-7e9i"	"ecd-gord"
"ade"	"ap3-ade-96e"	"exodore-hrowkin"
"adept"	"ap21-25-adept-c712bf"	"grodu-bbc"
"adequate"	"grod-nak-e1b"	"aaei-fletragi-hrowkash"
"adhered"	"ap16-20-adhered-1885d5"	"ashi-exodore-hrowkin"
"adhesive"	"ap26-30-adhesive-c7a6e5"	"grodu-gog-kaat"
"adios"	"freq100-adios-d85421"	"gurmogi-dcf"
"adjacent"	"ap31-36-adjacent-b80ad2"	"gor-ata-hrowka"
"adjourned"	"freq100-adjourned-26e1fc"	"bib-hrowgauk-krizh"
"adjust"	"freq100-adjust-2549c0"	"bdci-darg-hekmoguk"
"adjusted"	"shad-adzhust-254-ash"	"dwarfi-gakh-grimuk"
"adjusting"	"ap26-30-adjusting-e5abc8"	"hekruhur-gorin-helix"
"adjustment"	"ap31-36-adjustment-c3211e"	"grod-brakari-burdock"
"adjusts"	"ap2-adzhust-254i"	"hekash-forge-ka"
"admirable"	"freq100-admirable-e6cfff"	"heku-hekmog-krubi"
"admiral"	"freq100-admiral-113531"	"archon-cbd-dakuk"
"admiration"	"freq100-admiration-826415"	"drow-dragonuk-braku"
"admire"	"freq100-admire-13f318"	"arden-jorun-brand"
"admired"	"freq100-admired-083953"	"aelfuk-chesire-dragonuk"
"admirer"	"freq100-admirer-93490d"	"exarchuk-darg-bitin"
"admires"	"ap5-admire-7eci"	"fa-hekruhi-hekmoguk"
"admiring"	"freq100-admiring-666df0"	"dedi-dravku-kelpie"
"admission"	"freq100-admission-6a6ba7"	"depth-draviki-groduk"
"admissions"	"freq100-admissions-68944f"	"demetra-flitu-doku"
"admit"	"ap26-30-admit-358970"	"brakin-falstauk"
"admits"	"ap2-admit-358i"	"exie-hrowkuk-cab"
"admitted"	"freq100-admitted-52563f"	"dakku-demand-dbe"
"admitting"	"freq100-admitting-3d75ca"	"brukin-dugi-hrog"
"adopt"	"freq100-adopt-b0ad24"	"gashuri-goruk"
"adopted"	"freq100-adopted-5d4686"	"dargin-dakuru-gabh"
"adopting"	"ap16-20-adopting-f06ce1"	"hrowga-dravin-issenda"
"adoption"	"freq100-adoption-1f8181"	"banti-evazhun-flit"
"adopts"	"ap26-30-adopts-a42e8f"	"flitin-brukur-gentle"
"adorable"	"freq100-adorable-bb8fee"	"gori-fletragi-kelnagak"
"adore"	"freq100-adore-31a42e"	"brak-goblin"
"adored"	"freq100-adored-0addaf"	"agarici-hrogarai-grukhur"
"adorned"	"ap3-adorn-faa-ash"	"dokur-hekruh-flitu"
"adrenaline"	"ap21-25-adrenaline-aa0a13"	"gash-ata-brakin"
"ads"	"freq100-ads-788eb2"	"drav-flat"
"adult"	"freq100-adult-7fdc3e"	"dravkui-hrogar"
"adults"	"freq100-adults-3a7a37"	"brand-eastdale-dakururi"
"advancement"	"ap21-25-advancement-bd6da5"	"goru-dravku-grodu-hekfa"
"advantages"	"freq100-advantages-b22452"	"ghash-brakin-dornuk"
"adventurer-penned"	"vark-yank-mog-ap3-pen-757-ash"	"dravi-brak-dcf-lagash"
"adventures"	"freq100-adventures-6e1b1c"	"dok-bibuk-bruku"
"advertising"	"freq100-advertising-d27a4a"	"grum-eastdale-dff-burzuk"
"advice"	"ap26-30-advice-02c974"	"aba-hek-exodore"
"advise"	"freq100-advise-bac8ab"	"gord-gurmoguk-grow"
"advised"	"freq100-advised-eb3811"	"here-cee-brakash"
"advises"	"ap4-advise-baci"	"gashi-dwimmer-dravku"
"advisor"	"freq100-advisor-3ec7e6"	"bruku-gurmogi-kal"
"advocate"	"freq100-advocate-3c054e"	"brukash-ash-doki"
"ae"	"ap2-ae-f9a"	"hrowkuk-gentle"
"aegis"	"ap16-20-aegis-598f7a"	"dakururi-fletragi"
"aele’s"	"ap16-20-aeleuk-c2e46b"	"grimuk-hrowkai"
"aeration"	"ap16-20-aeration-10cbf1"	"arandian-hekfa-khal"
"aerator"	"ap16-20-aerator-3d3fa0"	"brukin-daki-grimuk"
"aerator's"	"ap16-20-aeratoruk-f3f7e5"	"hrowk-kal-kaat"
"aerial"	"shad-aerial-7df"	"dravin-issenda-kelnib"
"afar"	"ap21-25-afar-270930"	"agarici-burzi-bae"
"affair"	"ap31-36-affair-75c929"	"dragonuk-hek-colossal"
"affairs"	"freq100-affairs-0ed98b"	"aproakh-helix-gashin"
"affect"	"freq100-affect-852805"	"dug-brakur-bibash"
"affecting"	"freq100-affecting-112891"	"archon-brakur-gio"
"affection"	"freq100-affection-14c674"	"ardenuk-gurmog-exodore"
"affectionate"	"freq100-affectionate-eea7bd"	"hrogarai-gor-hekin-brakuk"
"affects"	"freq100-affects-e3e4b7"	"hekruh-hrowkai-gurmoguk"
"affidavit"	"freq100-affidavit-5acb31"	"darg-hekfa-dakuk"
"affirmative"	"freq100-affirmative-1d9e14"	"bant-gashur-brakkin-goblin"
"afford"	"ap4-aford-f90"	"hrowkuk-arcturus-dornuk"
"afoot"	"ap31-36-afoot-bbe982"	"gori-hrowkur"
"afraid"	"freq100-afraid-180366"	"ashi-ardenuk-dwarfi"
"africa"	"freq100-africa-3f5053"	"brukur-dbe-dragonuk"
"african"	"freq100-african-6f0831"	"dokash-ashuk-dakuk"
"aft"	"freq100-aft-51f474"	"dakkin-ka"
"aftermath"	"ap21-25-aftermath-bf648e"	"goth-dragonuk-gashuri"
"afternoons"	"freq100-afternoons-2fd6c5"	"bitin-hekui-hekui"
"afterward"	"freq100-afterward-d1e928"	"grukhur-hrowkur-chesire"
"afterwards"	"freq100-afterwards-9d45cb"	"fce-dakuri-hrogar"
"again"	"dok-dakur-450"	"giodon-hek"
"agate"	"ap21-25-agate-e5e9fe"	"hekruhur-hrowkur"
"aged"	"freq100-aged-5e0517"	"dargu-ash"
"agencies"	"freq100-agencies-1dfd1e"	"bant-karnu-burdock"
"agency"	"freq100-agency-c4b2af"	"grodh-grod-grukhur"
"agenda"	"freq100-agenda-df71fb"	"hekin-drow-krag"
"agent"	"ap26-30-agent-d4f0bc"	"gruuli-imperial"
"agents"	"ap16-20-agents-8c70b2"	"ebb-dravur-gruuli"
"ages"	"freq100-ages-ba24b7"	"gord-brakin"
"aggie"	"freq100-aggie-cf1d5e"	"grrtuk-biti"
"aggravation"	"ap16-20-aggravation-15e93b"	"arhk-hrowkur-dargin-dok"
"aggression"	"freq100-aggression-9b5e95"	"fcb-dokash-gog"
"aggressive"	"ap16-20-aggressive-42eddc"	"burzi-iku-iku"
"aggressively"	"ap21-25-aggressively-0d027b"	"akh-arden-fce-grodu"
"agility"	"ap21-25-agility-b22bac"	"ghash-brukash-grrt"
"aging"	"ap31-36-aging-fbac8a"	"hrowkuri-goru"
"agitated"	"ap31-36-agitated-ac71af"	"gashi-drow-grukhur"
"agonizing"	"ap16-20-agonizing-8a589e"	"dwimmer-deornoth-grak"
"agony"	"ap16-20-agony-fb5597"	"hrowkuri-dedi"
"agree"	"ap4-agree-94d"	"exie-heku"
"agreed"	"shad-agre-eb1-ash"	"fentrest-goru-kaag"
"agreeing"	"freq100-agreeing-f325fa"	"hrowk-brakkin-korvin"
"agreement"	"mokru-thog-c1d"	"cbd-gorash-brakur"
"agrees"	"ap4-agree-94di"	"elfi-banti-flit"
"ah"	"shad-ah-70a"	"doki-gentle"
"aha"	"ap4-aha-0ca"	"ak-gor"
"ahem"	"freq100-ahem-948409"	"exie-exieuk"
"ahold"	"freq100-ahold-63b00d"	"dcbi-great"
"ahoy"	"freq100-ahoy-2355f3"	"bbc-dedi"
"ai"	"freq100-ai-32e83e"	"brakari-hrowkuk"
"aide"	"freq100-aide-5e7db7"	"dargu-efekt"
"aided"	"ap26-30-aided-bcb895"	"gorin-groduk"
"aimed"	"ap26-30-aimed-74f8ef"	"dornuk-kangsin"
"aiming"	"ap16-20-aiming-fad8fb"	"hrowkur-hekur-krag"
"aims"	"ap21-25-aims-4fac4e"	"dakash-goru"
"ain"	"freq100-ain-abc42f"	"gashash-gruuluk"
"airborne"	"freq100-airborne-018cc3"	"aaei-fce-hekruhur"
"aircraft"	"freq100-aircraft-d10149"	"grukhur-arcturus-devis"
"airfield"	"freq100-airfield-10b6a5"	"arandian-grodu-grodu"
"airflow"	"ap31-36-airflow-16df48"	"ash-hrowga-depth"
"airline"	"freq100-airline-1b288c"	"ata-brakur-gashu"
"airlines"	"freq100-airlines-c6f986"	"grodin-kangstuk-gabh"
"airplane"	"freq100-airplane-0f4886"	"arandia-dakururi-gabh"
"airplanes"	"freq100-airplanes-9ef425"	"fentrest-ka-cbdi"
"airport"	"freq100-airport-ccc9ff"	"grotin-hek-krubi"
"aisle"	"freq100-aisle-0145be"	"aaei-dakuri"
"aisles"	"ap21-25-aisles-51ce0f"	"dakkin-hekin-brak"
"ajar"	"ap21-25-ajar-d1d94b"	"grukhur-helix"
"aka"	"ap16-20-aka-d8872d"	"gurmogi-faf"
"akashic"	"ap26-30-akashic-dbacfb"	"hekash-goru-krag"
"al"	"freq100-al-635182"	"dcbi-dca"
"alabama"	"freq100-alabama-0a14a1"	"agarici-bdci-grod"
"alan"	"freq100-alan-db4232"	"hekash-dakuk"
"alarmed"	"freq100-alarmed-f0809e"	"hrowga-ender-grak"
"alarms"	"freq100-alarms-423c13"	"burzi-crossbow-brakin"
"alas"	"freq100-alas-01a186"	"aaei-ghash"
"alaska"	"freq100-alaska-26c1d0"	"bib-grum-hrowgauk"
